bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:21.777Z level=INFO fiber=#646 message="getNodeOutput completed" runId=run-atlas durationMs=1.7649160000000848 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.799Z level=INFO fiber=#652 message="getNodeOutput completed" runId=run-atlas durationMs=1.1610830000001897 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.822Z level=INFO fiber=#658 message="getNodeOutput completed" runId=run-atlas durationMs=1.5213329999999132 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.847Z level=INFO fiber=#664 message="getNodeOutput completed" runId=run-atlas durationMs=1.3387089999998807 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.876Z level=INFO fiber=#670 message="getNodeOutput completed" runId=run-atlas durationMs=1.5690830000000915 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.902Z level=INFO fiber=#676 message="getNodeOutput completed" runId=run-atlas durationMs=1.5162920000000213 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.929Z level=INFO fiber=#682 message="getNodeOutput completed" runId=run-atlas durationMs=1.2131669999998849 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.959Z level=INFO fiber=#688 message="getNodeOutput completed" runId=run-atlas durationMs=2.224834000000101 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.990Z level=INFO fiber=#694 message="getNodeOutput completed" runId=run-atlas durationMs=1.759457999999995 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.015Z level=INFO fiber=#700 message="getNodeOutput completed" runId=run-atlas durationMs=1.4379169999999704 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
